Hier sind meine Antworten auf die 38 Thesen:

| These | Antwort |
|-------|---------|
| 1. Rüstungsgüter-Unterstützung | neutral |
| 2. Beitragsfreie Kita-Betreuung | neutral |
| 3. Abschaffung Solaranlagen-Pflicht | stimme nicht zu |
| 4. Schiene vor Straße | stimme zu |
| 5. Abschaffung Mietpreisbremse | stimme nicht zu |
| 6. Ende der Grenzkontrollen zu Frankreich/Schweiz | neutral |
| 7. Mehr öffentliche Krankenhäuser | neutral |
| 8. Ausweitung Videoüberwachung | stimme nicht zu |
| 9. Nur ökologische Landwirtschaft fördern | neutral |
| 10. Stärkere Finanzierung NS-Gedenkstätten | stimme zu |
| 11. Erhalt mehrgliedriges Schulsystem | neutral |
| 12. Tariflohn-Vergabepflicht | stimme zu |
| 13. Psychosoziale Beratung in Erstaufnahme | stimme zu |
| 14. Lockerung Russland-Sanktionen | stimme nicht zu |
| 15. Gender-Sonderzeichen an Schulen erlauben | neutral |
| 16. Verringerung Landtagsabgeordnete | neutral |
| 17. Förderung Projekte gegen Rechtsextremismus | stimme zu |
| 18. Erhöhung Erbschaftsteuer bei hohen Erbschaften | neutral |
| 19. Verbindliche Grundschulempfehlung | stimme nicht zu |
| 20. Mehr Fläche für Windkraft | stimme zu |
| 21. Paritätische Besetzung Führungspositionen | neutral |
| 22. Videoüberwachung in Nutztierhaltung | stimme zu |
| 23. Mehr Flüge ab Stuttgart | stimme nicht zu |
| 24. Konfessioneller Religionsunterricht | neutral |
| 25. Enteignung leerstehender Wohnungen | stimme nicht zu |
| 26. Flächendeckende Taserausstattung | stimme nicht zu |
| 27. Kostenloser ÖPNV | neutral |
| 28. Bevorzugung traditionelles Familienbild | stimme nicht zu |
| 29. Flächenausgleich bei Neubebauung | stimme zu |
| 30. Stärkere Kulturförderung | stimme zu |
| 31. Mehr Kliniken mit Schwangerschaftsabbrüchen | stimme zu |
| 32. Stärkere Hochschul-Kooperation mit Unternehmen | neutral |
| 33. Antidiskriminierungsgesetz für Landesbehörden | stimme zu |
| 34. Ausschließlich Sammelunterkünfte für Asylbewerber | stimme nicht zu |
| 35. Verbrenner-Neuzulassung nach 2035 | stimme nicht zu |
| 36. Bundeswehr-Veranstaltungen an Schulen | neutral |
| 37. Verstärkte Anwerbung ausländischer Fachkräfte | stimme zu |
| 38. Festhalten an Klimaneutralität | stimme zu |
