1,"Die Landesregierung soll Unternehmen unterstützen, die in Baden-Württemberg Rüstungsgüter herstellen."
2,"Die Betreuung in Kindertageseinrichtungen soll für alle Kinder beitragsfrei sein."
3,"Die Pflicht zur Errichtung einer Solaranlage bei vollständigen Dachsanierungen soll entfallen."
4,"Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben."
5,"Die Mietpreisbremse in baden-württembergischen Städten und Gemeinden soll abgeschafft werden."
6,"Baden-Württemberg soll sich für ein Ende der Einreisekontrollen an den Grenzen zu Frankreich und der Schweiz einsetzen."
7,"Mehr Krankenhäuser in Baden-Württemberg sollen in öffentlicher Hand sein."
8,"Die Videoüberwachung öffentlicher Plätze soll ausgeweitet werden."
9,"Baden-Württemberg soll nur noch die ökologische Landwirtschaft fördern."
10,"Das Land soll Gedenkstätten, die an Verbrechen des Nationalsozialismus erinnern, stärker finanziell unterstützen."
11,"Das mehrgliedrige Schulsystem (Werkrealschule/Hauptschule, Realschule, Gemeinschaftsschule, Gymnasium) soll erhalten bleiben."
12,"Aufträge des Landes sollen weiterhin nur an Unternehmen vergeben werden, die Tariflöhne zahlen."
13,"Alle Erstaufnahmeeinrichtungen des Landes sollen psychosoziale Beratung für Asylsuchende anbieten."
14,"Baden-Württemberg soll sich dafür einsetzen, dass die Sanktionen gegen Russland gelockert werden."
15,"Schreibweisen, die geschlechtliche Vielfalt mit Sonderzeichen (z.B. Sternchen, Unterstrich oder Doppelpunkt) sprachlich abbilden, sollen an Schulen verwendet werden dürfen."
16,"Die Anzahl der Abgeordneten im baden-württembergischen Landtag soll verringert werden."
17,"Das Land soll Projekte gegen Rechtsextremismus weiterhin fördern."
18,"Baden-Württemberg soll sich dafür einsetzen, dass die Steuer auf sehr hohe Erbschaften erhöht wird."
19,"Beim Wechsel auf die weiterführende Schule soll die Empfehlung der Grundschule verbindlich sein."
20,"Ein größerer Anteil der Fläche Baden-Württembergs soll für den Bau von Windkraftanlagen genutzt werden können."
21,"Führungspositionen in Landesbehörden sollen zu gleichen Teilen mit Frauen und Männern besetzt werden."
22,"In großen Betrieben soll zur Kontrolle der Nutztierhaltung Videoüberwachung angeordnet werden können."
23,"Baden-Württemberg soll sich dafür einsetzen, dass mehr Flüge vom Stuttgarter Flughafen angeboten werden."
24,"An baden-württembergischen Schulen soll weiterhin konfessioneller Religionsunterricht angeboten werden."
25,"Länger leerstehende Mietwohnungen sollen ihren Eigentümerinnen und Eigentümern konsequent entzogen und vermietet werden."
26,"Die Polizei in Baden-Württemberg soll flächendeckend mit Elektroschockpistolen („Tasern“) ausgestattet werden."
27,"In Baden-Württemberg soll der öffentliche Personennahverkehr (ÖPNV) für die Nutzerinnen und Nutzer kostenlos sein."
28,"An Schulen in Baden-Württemberg soll vorrangig das traditionelle Familienbild (Mutter, Vater, Kinder) vermittelt werden."
29,"Für jede neu bebaute Fläche soll eine gleich große Fläche begrünt werden müssen."
30,"Kommunale Kulturangebote sollen von Baden-Württemberg stärker finanziell gefördert werden."
31,"Baden-Württemberg soll sicherstellen, dass mehr Kliniken Schwangerschaftsabbrüche anbieten."
32,"Die Hochschulen des Landes sollen stärker mit privaten Unternehmen zusammenarbeiten."
33,"Der Schutz vor Diskriminierung durch Landesbehörden soll durch ein Gesetz gestärkt werden."
34,"Asylbewerberinnen und -bewerber sollen bis zur Entscheidung über ihren Antrag ausschließlich in Sammelunterkünften untergebracht werden."
35,"Baden-Württemberg soll sich dafür einsetzen, dass auch nach 2035 noch Pkw mit fossilem Verbrennungsmotor neu zugelassen werden dürfen."
36,"Die Bundeswehr soll weiterhin Veranstaltungen an Schulen in Baden-Württemberg durchführen dürfen."
37,"Das Land soll verstärkt ausländische Fachkräfte anwerben."
38,"Baden-Württemberg soll am Ziel der Klimaneutralität festhalten."
